source_file,relative_source_path,file_size_bytes,document_title,num_chunks_generated,total_characters,status,chunking_method,warning_or_error
cleaned_corpus\adsk-45c312d4c700488fa2de948b01d13864.md,adsk-45c312d4c700488fa2de948b01d13864.md,3487,Direct Order Terms & Conditions | Autodesk,17,3442,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-45dc94ca846d4577be9e5d0886420172.md,adsk-45dc94ca846d4577be9e5d0886420172.md,394,Webinars,8,379,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4682707a94dd4ee1a4ee96317c08fd96.md,adsk-4682707a94dd4ee1a4ee96317c08fd96.md,1606,Autodesk analytics programs | Autodesk,14,1573,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-46cb835dea0f47a994613215e7f8fa24.md,adsk-46cb835dea0f47a994613215e7f8fa24.md,618,Autodesk Drive,10,601,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-46f7b60da9904b8e9ba079fe59e247e3.md,adsk-46f7b60da9904b8e9ba079fe59e247e3.md,11987,3D Modeling Software | What Is 3D Modeling? | Autodesk,60,11796,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-46f95404afa545248d65c817dcf3ffbf.md,adsk-46f95404afa545248d65c817dcf3ffbf.md,3192,Architecture Toolset In Autodesk AutoCAD | Features,30,3135,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-47266aaf9425404c94d97b1f3bc7d731.md,adsk-47266aaf9425404c94d97b1f3bc7d731.md,1812,Autodesk Blogs,9,1735,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-47b02f52994f4b60858ec0364d0e47cc.md,adsk-47b02f52994f4b60858ec0364d0e47cc.md,613,Autodesk Takeoff Trial | Autodesk Construction Cloud,9,594,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-47f169334f2440399285c8a33d3016d2.md,adsk-47f169334f2440399285c8a33d3016d2.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-47f48a00228c46c89ad24f0d3b628ddb.md,adsk-47f48a00228c46c89ad24f0d3b628ddb.md,5786,4 Ways Autodesk Takeoff Will Improve 2D and 3D Takeoffs,24,5688,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-480b1985489c49878972ba859204c1f7.md,adsk-480b1985489c49878972ba859204c1f7.md,1709,Within Medical | Medical 3D Printing Software & Implant Design | Autodesk,23,1666,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-484e97a632794cfaaf2351a83dea7295.md,adsk-484e97a632794cfaaf2351a83dea7295.md,4840,Autodesk appoints Joe Speicher as its first chief sustainability officer,18,4759,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-487ac6d046054710a72290f36c74a7c4.md,adsk-487ac6d046054710a72290f36c74a7c4.md,3614,Fusion 360 With FeatureCAM | Latest Features | Autodesk,50,3516,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-48b53604fb4c4866a11d9550edb2c924.md,adsk-48b53604fb4c4866a11d9550edb2c924.md,1875,Security | Autodesk Trust Center,14,1838,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-48ee1ab1f7404127932df2e49c13771b.md,adsk-48ee1ab1f7404127932df2e49c13771b.md,3595,Autodesk Student Downloads and Resources,20,3516,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4916e161c19e4a549c742e76ea79ad1e.md,adsk-4916e161c19e4a549c742e76ea79ad1e.md,1563,"Fusion 360 | 3D CAD, CAM, CAE, & PCB Cloud-Based Software | Autodesk",20,1514,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-492a9bfd67314eea8d874a9dbeac29f0.md,adsk-492a9bfd67314eea8d874a9dbeac29f0.md,4061,Fusion 360 for Manufacturing Software | Get Prices & Buy Official Fusion 360 for Manufacturing | Autodesk,29,3982,indexed,docling_hierarchical_chunker,
